Tractate,Chapter,Mishnah Count,Word Count
Mishnah Bava Batra,1,Passed,
Mishnah Bava Batra,2,Passed,12
Mishnah Bava Batra,3,Passed,
Mishnah Bava Batra,4,Passed,3 4 6
Mishnah Bava Batra,5,Passed,
Mishnah Bava Batra,6,Passed,
Mishnah Bava Batra,7,Passed,
Mishnah Bava Batra,8,Passed,
Mishnah Bava Batra,9,Passed,7
Mishnah Bava Batra,10,Passed,8
Mishnah Makkot,1,Passed,
Mishnah Makkot,2,Passed,
Mishnah Makkot,3,Passed,13 16
Mishnah Shevuot,1,Passed,5 7
Mishnah Shevuot,2,Passed,
Mishnah Shevuot,3,Passed,1 4 5 6 11
Mishnah Shevuot,4,Passed,2 3 5 13
Mishnah Shevuot,5,Passed,2 3 5
Mishnah Shevuot,6,Passed,1 2 3 6 7
Mishnah Shevuot,7,Passed,6
Mishnah Shevuot,8,Passed,6
Mishnah Eduyot,1,Passed,13
Mishnah Eduyot,2,Passed,
Mishnah Eduyot,3,Passed,12
Mishnah Eduyot,4,Passed,
Mishnah Eduyot,5,Passed,
Mishnah Eduyot,6,Passed,
Mishnah Eduyot,7,Passed,
Mishnah Eduyot,8,Passed,3 7
Mishnah Avodah Zarah,1,Passed,3 4
Mishnah Avodah Zarah,2,Passed,1 6
Mishnah Avodah Zarah,3,Passed,3 6 7 8
Mishnah Avodah Zarah,4,Passed,4
Mishnah Avodah Zarah,5,Passed,3 4 6 7 11 12
Pirkei Avot,1,Passed,10 12
Pirkei Avot,2,Passed,8 9
Pirkei Avot,3,Passed,2 6 7 8 9 10 14 15 16 17
Pirkei Avot,4,Passed,1 8 14
Pirkei Avot,5,Passed,4
Pirkei Avot,6,Failed,1 2 3 4 5 6 7 8 10 11 12
Mishnah Horayot,1,Passed,1 4 5
Mishnah Horayot,2,Passed,
Mishnah Horayot,3,Passed,8
Mishnah Zevachim,1,Passed,
Mishnah Zevachim,2,Passed,1 2
Mishnah Zevachim,3,Passed,1 2 6
Mishnah Zevachim,4,Passed,1 2 4 5 6
Mishnah Zevachim,5,Passed,6 7 8
Mishnah Zevachim,6,Passed,1 6 7
Mishnah Zevachim,7,Passed,1 2 5
Mishnah Zevachim,8,Passed,1 2 5 7 9 10 11 12
Mishnah Zevachim,9,Passed,2
Mishnah Zevachim,10,Passed,
Mishnah Zevachim,11,Passed,3
Mishnah Zevachim,12,Passed,
Mishnah Zevachim,13,Passed,
Mishnah Zevachim,14,Passed,10
Mishnah Chullin,1,Passed,7
Mishnah Chullin,2,Passed,
Mishnah Chullin,3,Passed,3 5
Mishnah Chullin,4,Passed,
Mishnah Chullin,5,Passed,
Mishnah Chullin,6,Passed,
Mishnah Chullin,7,Passed,
Mishnah Chullin,8,Passed,
Mishnah Chullin,9,Passed,3
Mishnah Chullin,10,Passed,
Mishnah Chullin,11,Passed,
Mishnah Chullin,12,Passed,5
Mishnah Arakhin,1,Passed,
Mishnah Arakhin,2,Passed,
Mishnah Arakhin,3,Passed,
Mishnah Arakhin,4,Failed,4
Mishnah Arakhin,5,Passed,
Mishnah Arakhin,6,Passed,
Mishnah Arakhin,7,Passed,
Mishnah Arakhin,8,Passed,
Mishnah Arakhin,9,Passed,1 8
Mishnah Keritot,1,Passed,
Mishnah Keritot,2,Passed,
Mishnah Keritot,3,Passed,
Mishnah Keritot,4,Passed,
Mishnah Keritot,5,Passed,
Mishnah Keritot,6,Passed,9
Mishnah Meilah,1,Passed,
Mishnah Meilah,2,Passed,9
Mishnah Meilah,3,Passed,
Mishnah Meilah,4,Passed,6
Mishnah Meilah,5,Passed,
Mishnah Meilah,6,Passed,6
Mishnah Tamid,1,Passed,1 4
Mishnah Tamid,2,Passed,
Mishnah Tamid,3,Passed,
Mishnah Tamid,4,Passed,
Mishnah Tamid,5,Passed,
Mishnah Tamid,6,Passed,
Mishnah Tamid,7,Passed,4
Mishnah Middot,1,Passed,
Mishnah Middot,2,Passed,
Mishnah Middot,3,Passed,
Mishnah Middot,4,Passed,1
Mishnah Middot,5,Failed,1 2 3 4
Mishnah Kinnim,1,Failed,1 3 4 5
Mishnah Kinnim,2,Passed,
Mishnah Kinnim,3,Passed,6
Mishnah Kelim,1,Passed,5 9
Mishnah Kelim,2,Passed,2 3 4 5 6 7
Mishnah Kelim,3,Passed,1 2 3 4 5 7 8
Mishnah Kelim,4,Passed,1 3 4
Mishnah Kelim,5,Passed,1 2 3 4 5 9 10 11
Mishnah Kelim,6,Passed,1 3
Mishnah Kelim,7,Passed,1 3 4 5
Mishnah Kelim,8,Passed,1 2 3 5 6 7 8 9 10
Mishnah Kelim,9,Passed,1 3 5 6 8
Mishnah Kelim,10,Passed,3 6 7 8
Mishnah Kelim,11,Passed,3 4 5 6 7 8 9
Mishnah Kelim,12,Passed,1 2 3 4 5 7 8
Mishnah Kelim,13,Passed,1 2 3 4 5 6 8
Mishnah Kelim,14,Passed,1 2 3 5 8
Mishnah Kelim,15,Passed,1 2 4 5 6
Mishnah Kelim,16,Passed,1 2 3 4 5 6 7 8
Mishnah Kelim,17,Passed,2 4 8 11 12 15 17
Mishnah Kelim,18,Passed,1 3 4 5 6 7 8
Mishnah Kelim,19,Passed,1 4 5 6 7 9
Mishnah Kelim,20,Passed,1 2 3 4 5 6 7
Mishnah Kelim,21,Passed,1 2 3
Mishnah Kelim,22,Passed,3 4 7 8 9 10
Mishnah Kelim,23,Passed,5
Mishnah Kelim,24,Passed,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
Mishnah Kelim,25,Passed,
Mishnah Kelim,26,Passed,1 4 6
Mishnah Kelim,27,Passed,5
Mishnah Kelim,28,Passed,7
Mishnah Kelim,29,Passed,
Mishnah Kelim,30,Passed,1 4
Mishnah Oholot,1,Passed,1 6 8
Mishnah Oholot,2,Passed,3
Mishnah Oholot,3,Passed,1 7
Mishnah Oholot,4,Passed,1 3
Mishnah Oholot,5,Passed,3
Mishnah Oholot,6,Passed,1 2
Mishnah Oholot,7,Passed,1
Mishnah Oholot,8,Passed,1 3
Mishnah Oholot,9,Passed,7
Mishnah Oholot,10,Passed,1 2
Mishnah Oholot,11,Passed,1 8 9
Mishnah Oholot,12,Passed,1 2 4
Mishnah Oholot,13,Passed,1 5
Mishnah Oholot,14,Passed,
Mishnah Oholot,15,Passed,1 2 5 7
Mishnah Oholot,16,Passed,1 2
Mishnah Oholot,17,Passed,1 3 5
Mishnah Oholot,18,Passed,1 3 9 10
Mishnah Negaim,1,Passed,2
Mishnah Negaim,2,Passed,
Mishnah Negaim,3,Passed,1
Mishnah Negaim,4,Passed,
Mishnah Negaim,5,Passed,
Mishnah Negaim,6,Passed,1 7
Mishnah Negaim,7,Passed,1
Mishnah Negaim,8,Passed,
Mishnah Negaim,9,Passed,
Mishnah Negaim,10,Passed,2 4 6 7 8 10
Mishnah Negaim,11,Passed,1 8
Mishnah Negaim,12,Passed,1 3 5
Mishnah Negaim,13,Passed,2 4 8 11
Mishnah Negaim,14,Passed,1 4 5 6 13
Mishnah Parah,1,Failed,1 2 3 4
Mishnah Parah,2,Passed,1 2 3 4 5
Mishnah Parah,3,Passed,1 2 3 4 5 7 8 9 10 11
Mishnah Parah,4,Passed,1 2 3 4
Mishnah Parah,5,Passed,1 2 3 4 5 6 7 8 9
Mishnah Parah,6,Passed,1 4
Mishnah Parah,7,Passed,1 3 4 5 6 7 8 9 10 11 12
Mishnah Parah,8,Passed,1 2 3 4 5 6 8 9 10 11
Mishnah Parah,9,Passed,1 3 4 5 6 8 9
Mishnah Parah,10,Passed,1 2 3 4 6
Mishnah Parah,11,Passed,1 2 3 4 5 6 7 9
Mishnah Parah,12,Passed,2 3 6 8 10 11
Mishnah Mikvaot,1,Passed,3
Mishnah Mikvaot,2,Passed,1 2
Mishnah Mikvaot,3,Passed,
Mishnah Mikvaot,4,Passed,
Mishnah Mikvaot,5,Passed,
Mishnah Mikvaot,6,Passed,
Mishnah Mikvaot,7,Passed,
Mishnah Mikvaot,8,Passed,4
Mishnah Mikvaot,9,Passed,1
Mishnah Mikvaot,10,Passed,8
Mishnah Niddah,1,Passed,
Mishnah Niddah,2,Passed,
Mishnah Niddah,3,Passed,
Mishnah Niddah,4,Passed,3
Mishnah Niddah,5,Passed,
Mishnah Niddah,6,Passed,
Mishnah Niddah,7,Passed,1
Mishnah Niddah,8,Passed,3
Mishnah Niddah,9,Passed,6 7 10
Mishnah Niddah,10,Passed,1 4 6 7 8
Mishnah Makhshirin,1,Passed,1 2 3 4 6
Mishnah Makhshirin,2,Passed,
Mishnah Makhshirin,3,Passed,5 8
Mishnah Makhshirin,4,Passed,4 5 10
Mishnah Makhshirin,5,Passed,
Mishnah Makhshirin,6,Passed,1 5 6 7
Mishnah Zavim,1,Passed,1 2
Mishnah Zavim,2,Passed,
Mishnah Zavim,3,Passed,
Mishnah Zavim,4,Passed,
Mishnah Zavim,5,Passed,10 12
Mishnah Tevul Yom,1,Passed,1 2 5
Mishnah Tevul Yom,2,Passed,5
Mishnah Tevul Yom,3,Passed,4 5
Mishnah Tevul Yom,4,Passed,7
Mishnah Yadayim,1,Passed,
Mishnah Yadayim,2,Passed,2
Mishnah Yadayim,3,Passed,1 5
Mishnah Yadayim,4,Passed,2 3 4 8
Mishnah Oktzin,1,Passed,
Mishnah Oktzin,2,Passed,
Mishnah Oktzin,3,Passed,5 6 8 10 11
