English	Hebrew	Count	
Sefer Ha-'ikkarim		1	
Tosefta Meilah		1	
Likutei Moharan -- MS5		1	
English		1	
Hakakhah.com		1	
Leipzig :  H.L. Shnuis, 1859		1	
Ben Ish Hai -- Wikisource		1	
Pri Haaretz -- wikisource		1	
Midrash Tanhuma haKadum veHaYashan, S. Buber, 1885		1	
The Standard Prayer Book, tr. by Simeon Singer, [1915]		1	
Google Translate		1	
Etzion VBM		1	
Tosefta Menahot - Machon Mamre		1	
section on Bnot Zelophchad		1	
Moreh Nevuchim, Ibn Tibon Introduction		1	
Minchat Chinuch, Piotrkew, 1902		1	
Chiddushei HaRitva, Berlin, 1860.		1	
Suomi Käännös [fi]		1	
Minhat Kenaot, Pressburg, 1838.		1	
Guide for the Perplexed, English Translation, Friedlander (1903)		1	
Tikkun HaKlali - Wikisource		1	
Malbim on I Chronicles -- Wikisource		1	
Ibn Ezra on Nehemiah -- Daat		1	
Orach Chaim, Vilna, 1923		1	
Toronto Torah		1	
מטפחת ספרים פרק ב		1	
Tiferet Yisrael on Permitted Animals		1	
Torat Netanel, Modiin Illit, 2009		1	
Isur ve-heter le-Rashi, Berlin 1936		1	
Tosefta Zevachim - Machon Mamre		1	
Ibn Ezra on Daniel -- Daat		1	
The Midrash of Philo, by Samuel Belkin, 1989		1	
קיצור ספר חרדים רבי אלעזר אזכרי		1	
Tosefta Eduyot - Machon Mamre		1	
Yalkut Shimoni on Nach		1	
R' Zadok -- Divrei Soferim		1	
Tosefta Keilim Metsia - Machon Mamre		1	
Zohar : Volume 1 : Daf 33b		1	
Tosefta Ketuvot -- Machon Mamre		1	
En Jacob		1	
Eighteen Treatises from the Mishna, by D. A. Sola and M. J. Raphall, [1843], at sacred-texts.com		1	
just the first two halachot		1	
Igeret haSheluha meHakme veRabane haAskenazim, Amsterdam 1831		1	
TRANSLATION		1	
Malbim On Jonah--Wikisource		1	
Sefer Ha-ikkarim, Jewish Publication Society of America, 1929		1	
פרשת בראשית		1	
טופס הכתובה: ביום פלוני וכו'		1	
BJC - PT		1	
Shechem Messilat Yesharim		1	
Mishneh Torah		1	
Megillat Taanit, trans. Solomon Zeitlin		1	
Or Neerav -- grimoar		1	
Shadal on Torah		1	
The Metsudah Machzor; Metsudah Publications, New York -- he		1	
Siftei Hakhamim		1	
Malbim Beur Hamilot on Hosea- Wikisource		1	
דפוס לבוב תקנ"ט מפוסק		1	
Tosefta Bava Batra - Machon Mamre		1	
Likutei Moharan -- MS1		1	
הלכות ציצית		1	
Kohelet by Bruce Heitler		1	
Rashbam on Numbers -- Daat		1	
Wikisource Mishneh Torah - Hebrew		1	
Sefer haBahur, Isny 1542-Mantua, 1556.		1	
Ralbag on Melachim II, 4:21		1	
Bekhor Shor, Breslau, 1890		1	
Pirkei Avot with commentary of the Vilna Gaon, Vilna 1836		1	
Onkelos Exodus		1	
rashi		1	
Chizkuni, translated and annotated by Eliyahu Munk		1	
דפוס לבוב תקנט מפוסק.		1	
Birkat Hamazon -- Edot HaMizrach		1	
The Letter of Aristeas, The Clarendon Press, 1913		1	
