citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed
"Notes by Rabbi Yehoshua Hartman on Be'er HaGolah, Well 7 3:27",Nedarim 32b,13,1,Nedarim 32b:3,True,5.0,11,38,llm,yes
Noam Yerushalmi on Bava Metzia 1:6:3:4,Bava Metzia 13,26,56,Bava Metzia 13b:5,True,6.0,2,42,llm,yes
"HaKtav VeHaKabalah, Deuteronomy 20:19:1",Exodus 18:1-20:23,75,1,Exodus 18:11,False,5.0,5,10,llm,yes
"Ketzot HaChoshen on Shulchan Arukh, Choshen Mishpat 209:2:1",Bava Batra 142,17,1,Bava Batra 142a:1,True,4.0,20,15,llm,yes
Meiri on Pesachim 37a:9,Menachot 75b,11,3,Menachot 75b:6,True,14.0,13,27,high_score,yes
"HaKtav VeHaKabalah, Deuteronomy 20:19:1",Deuteronomy 32:1-52,52,2,Deuteronomy 32:24,False,2.2,188,10,llm,yes
"HaKtav VeHaKabalah, Deuteronomy 20:19:1",Psalms 31,25,3,Psalms 31:22,True,1.6,505,8,llm,yes
"Yad Eitan on Mishneh Torah, Slaves 2:8:1",Kiddushin 2a:1-41a:2,1199,17,Kiddushin 24a:7,False,4.0,99,23,llm,no
Haamek Sheilah on Sheiltot d'Rav Achai Gaon 78:1:2,Bava Kamma 98,33,2,Bava Kamma 98b:3,True,13.0,11,45,high_score,yes
"HaKtav VeHaKabalah, Deuteronomy 20:19:1",Exodus 18:1-20:23,75,2,Exodus 20:8,False,4.0,10,4,llm,no
Haamek Sheilah on Sheiltot d'Rav Achai Gaon 78:1:2,Rosh on Pesachim 1,17,7,Rosh on Pesachim 1:4:1,False,32.0,17,572,high_score,yes
"Zohar, Noach 13:84",Isaiah 10,34,3,Isaiah 10:30,True,8.0,27,7,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Rosh Hashanah 3:7:1,Rosh Hashanah 27b,17,13,Rosh Hashanah 27b:1,True,22.0,369,34,llm,yes
Penei Moshe on Jerusalem Talmud Yevamot 3:1:9:1,Yevamot 26b,9,2,Yevamot 26b:2,True,4.0,75,26,llm,yes
"Torah Temimah on Torah, Leviticus 3:4:3",Chullin 93a,16,11,Chullin 93a:4,True,15.0,178,38,llm,yes
Ohr LaYesharim on Jerusalem Talmud Rosh Hashanah 3:7:1,Rosh Hashanah 28a,18,5,Rosh Hashanah 28a:6,True,22.0,185,31,llm,no
Or HaChaim on Exodus 1:16:1,Sotah 11b,24,1,Sotah 11b:16,True,9.0,8,18,high_score,yes
"Zohar, Noach 13:84",Song of Songs 4,16,2,Song of Songs 4:12,True,1.9,2,7,llm,yes
"Minchat Shai on Torah, Exodus 40:35:2",Exodus 1:1-6:1,124,1,Exodus 1:1,False,1.3,9,11,llm,no
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Megillah 19b,15,5,Megillah 19b:7,True,9.0,298,27,llm,no
"Sefer HeArukh, Letter Shin 377",Ketubot 17,28,2,Ketubot 17a:12,True,2.8,2,55,llm,no
"Toldot Yaakov Yosef, Balak 42",Pirkei Avot 6,11,1,Pirkei Avot 6:9,True,4.0,2,149,llm,yes
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 16a,23,1,Berakhot 16a:10,True,4.0,237,42,llm,no
"Ra'avad on Sifra, Tzav, Chapter 11 4:1",Menachot 89a,20,9,Menachot 89a:5,True,16.0,2,32,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 15,56,28,Berakhot 15b:20,True,4.0,265,10,llm,yes
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 15b,30,12,Berakhot 15b:10,True,37.0,138,52,llm,no
"Commentary on Sefer Hamitzvot of Rasag, Negative Commandments 212:33",Kiddushin 78a,22,6,Kiddushin 78a:7,True,35.0,16,41,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 15b,30,11,Berakhot 15b:10,True,37.0,253,52,llm,yes
Divrei Rivot 292:2,Bava Metzia 83a:12-94a:15,376,8,Bava Metzia 93b:7,False,16.0,16,31,high_score,yes
"Darkhei Moshe (Amiel), Derekh HaKodesh, Shmatta 4 1:8",Shevuot 21b,17,5,Shevuot 21b:10,True,22.0,268,27,llm,yes
"Sulam on Zohar, Chayei Sara 155:5",Genesis 28,22,1,Genesis 28:19,True,12.0,2,8,high_score,yes
Korban HaEdah on Jerusalem Talmud Yoma 8:1:6:10,Niddah,2665,2,Niddah 32a:9,False,4.0,36,20,llm,yes
Rash MiShantz on Mishnah Tahorot 9:5:4,Shabbat 145a,15,2,Shabbat 145a:4,True,5.0,21,31,llm,yes
"Notes by Rabbi Yehoshua Hartman on Gevurot Hashem, Second Introduction to Gevurot Hashem 121",Megillah 31a,19,3,Megillah 31a:12,True,10.0,33,23,high_score,yes
"Darkhei Moshe (Amiel), Darkhei HaKinyanim, Shmatta 8 23:14",Shevuot 27b,19,1,Shevuot 27b:18,True,5.0,8,18,llm,yes
Machatzit HaShekel on Orach Chayim 160:16:4,Niddah 17a,23,4,Niddah 17a:21,True,9.0,29,11,high_score,yes
Malbim on Numbers 6:5:3,Nazir 44,27,1,Nazir 44a:17,True,5.0,5,15,llm,yes
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:5:3:1,Niddah 25b,21,2,Niddah 25b:14,True,4.0,271,47,llm,yes
"Beit Yaakov on Torah, Vayigash 27:1",Genesis 26,35,1,Genesis 26:2,True,2.5,163,11,llm,yes
Rashash on Yoma 45a:3,Yoma 46a,14,2,Yoma 46a:10,True,5.0,88,10,llm,yes
"Zohar, Emor 13:48",Malachi 1,14,9,Malachi 1:8,True,12.0,7,21,high_score,yes
"Introductions to Amoraic Literature, Part I (Introductions to Tractates of the Babli), Nazir 56",Nazir 7a,14,1,Nazir 7a:1,True,10.0,10,24,high_score,yes
Torah Temimah on Psalms 136:1:1,Pesachim 118a,21,6,Pesachim 118a:2,True,2.3,3,31,llm,yes
"Beit Yaakov on Torah, Vayigash 27:1",Pesachim 87b,23,2,Pesachim 87b:14,True,5.0,46,29,llm,yes
"Beit Yaakov on Torah, Vayigash 27:1",Genesis 27,46,3,Genesis 27:20,True,1.8,599,13,llm,no
"Tzafnat Pa'neach on Mishneh Torah, Woman Suspected of Infidelity 3:2:1",Tosafot on Sanhedrin 37b,6,1,Tosafot on Sanhedrin 37b:4:1,False,8.0,1,212,high_score,yes
"Gan Naul, House II 9:17:2",Pirkei Avot 1,18,1,Pirkei Avot 1:17,True,5.0,7,25,llm,yes
"Likutei Halakhot, Orach Chaim, Laws of Fringes 3:6:1",Shabbat 32,19,1,Shabbat 32b:5,True,7.0,37,71,llm,yes
Tosefta Kifshutah on Nazir 6:3:2,Nazir 63a,10,2,Nazir 63a:9,True,4.0,180,16,llm,yes
Mishnat Eretz Yisrael on Mishnah Baba Kamma 4:4:22,Bava Kamma 39a,14,7,Bava Kamma 39a:7,True,9.0,12,50,high_score,yes
Sheyarei Korban on Jerusalem Talmud Shabbat 3:7:8:1,Shabbat 44,13,14,Shabbat 44a:9,True,48.0,8,67,high_score,yes
"Introductions to Amoraic Literature, Part I (Introductions to Tractates of the Babli), Nazir 56",Sukkah 55a,11,1,Sukkah 55a:8,True,4.0,44,14,llm,no
"Kessef Mishneh on Mishneh Torah, Things Forbidden on the Altar 2:2:5",Tosefta Bekhorot 4,5,2,Tosefta Bekhorot 4:2,True,10.0,1,122,high_score,yes
Etz Yosef on Devarim Rabbah 1:13:2,Deuteronomy 4,49,3,Deuteronomy 4:4,True,2.3,19,7,llm,yes
Par Echad on Pirkei DeRabbi Eliezer 28:1,Pirkei DeRabbi Eliezer 35,9,1,Pirkei DeRabbi Eliezer 35:6,True,4.0,18,117,llm,no
Ikar Tosafot Yom Tov on Mishnah Pesachim 6:1:2,Menachot 72,44,3,Menachot 72b:2,True,5.0,106,8,llm,yes
"Introductions to Amoraic Literature, Part I (Introductions to Tractates of the Babli), Nazir 56",Megillah 5a,19,7,Megillah 5a:11,True,7.0,136,24,llm,yes
"Sefer HaMitzvot, Positive Commandments 2:1",Deuteronomy 3:23-7:11,122,3,Deuteronomy 6:4,False,4.0,3,5,llm,yes
"Kessef Mishneh on Mishneh Torah, Things Forbidden on the Altar 2:2:5",Bekhorot 39,39,2,Bekhorot 39a:9,True,11.0,85,26,llm,yes
"Sefer HeArukh, Letter Alef 206",Beitzah 29,27,2,Beitzah 29a:1,True,7.0,128,23,llm,yes
"Kessef Mishneh on Mishneh Torah, Things Forbidden on the Altar 2:2:5",Bekhorot 37a:15-43a:3,214,7,Bekhorot 39a:9,False,11.0,60,26,high_score,yes
"Nishmat Chayyim, Second Treatise 18:4",Niddah 21a:4-31b:17,442,1,Niddah 31a:2,False,6.0,23,21,llm,no
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 96:12",Tosafot on Chullin 11a,9,3,Tosafot on Chullin 11a:2:1,False,13.0,2,64,high_score,yes
"Torah Temimah on Torah, Leviticus 14:46:1",Yoma 53a,25,1,Yoma 53a:24,True,4.0,8,40,llm,yes
"Lechem Mishneh on Mishneh Torah, Robbery and Lost Property 3:15:1",Bava Batra 73a:3-91b:18,417,19,Bava Batra 88a:1,False,5.0,1,12,llm,yes
"Torah Temimah on Torah, Leviticus 14:46:1",Chullin 10b,15,2,Chullin 10b:11,True,10.0,7,42,high_score,yes
"Torah Temimah on Torah, Leviticus 14:46:1",Shevuot 17b,13,2,Shevuot 17b:6,True,5.0,587,21,llm,yes
"Torah Temimah on Torah, Leviticus 22:22:7",Sotah 46a,23,13,Sotah 46a:8,True,15.0,270,52,llm,yes
Reshimot Shiurim on Sanhedrin 40b:5,Ketubot 33a,10,1,Ketubot 33a:4,True,5.0,14,42,llm,yes
"Bach, Choshen Mishpat 269:3:1",Bava Metzia 8,37,6,Bava Metzia 8a:13,True,18.0,2,23,high_score,yes
Toafot Re'em 401:13,Menachot 42a,23,1,Menachot 42a:12,True,5.0,6,15,llm,yes
"Divrey Chamudot on Niddah, Hilchot Mikvaot 34",Temurah 2a:1-13b:17,394,5,Temurah 12b:2,False,3.1,97,24,llm,yes
"Mashmia Yeshuah, The Third Herald (Isaiah) 14:12",Bereshit Rabbah,1037,1,Bereshit Rabbah 95:1,False,5.0,203,297,llm,no
Chayyim VaChesed 196:2,Bava Metzia 84a,18,1,Bava Metzia 84a:10,True,11.0,2,37,high_score,yes
"Sefer HaTerumah, Psakim 72:2",Chullin 99a,9,2,Chullin 99a:7,True,5.0,307,30,llm,no
"Sefer HaIkkarim, Maamar 4 17:6",Deuteronomy 32:1-52,52,3,Deuteronomy 32:39,False,7.0,41,16,llm,yes
"Peninei Halakhah, The Nation and the Land, Supplement, Responsa of Rabbi Shlomo Goren 11:26",Avodah Zarah 20a,12,1,Avodah Zarah 20a:10,True,5.0,2,50,llm,yes
"Divrey Chamudot on Niddah, Hilchot Mikvaot 34",Tosafot on Temurah 2a:1-13b:17,94,2,Tosafot on Temurah 12a:14:1,True,6.0,31,57,llm,yes
"Maggid Mishneh on Mishneh Torah, Sabbath 23:3:1",Shabbat 139,41,3,Shabbat 139b:8,True,9.0,22,44,high_score,yes
"Beit Yosef, Yoreh De'ah 321:14:1",Bekhorot 11a,26,7,Bekhorot 11a:11,True,18.0,56,21,high_score,yes
"Ein Yaakov, Gittin 5:13",Psalms 60,14,2,Psalms 60:12,True,8.0,453,6,llm,yes
Yahel Ohr on Zohar 3:226a:9,Genesis 23:1-25:18,105,2,Genesis 23:1,False,1.6,42,12,llm,no
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 96:12",Chullin 11a,17,6,Chullin 11a:4,True,2.1,596,11,llm,yes
Tosefta Kifshutah on Shekalim 1:5:6,Moed Katan 6a,16,2,Moed Katan 6a:4,True,5.0,2,24,llm,yes
"Sefer HaTerumah, Psakim 72:2",Chullin 89b:3-103b:15,445,17,Chullin 99b:5,False,6.0,292,11,llm,yes
"Be'er Yitzchak, Orach Chayim 13:22",Tosafot on Shabbat,1557,1,Tosafot on Shabbat 24b:6:1,False,6.0,149,293,llm,no
Rosh on Avodah Zarah 4:2:1,Sanhedrin 74b,10,1,Sanhedrin 74b:6,True,8.0,69,19,llm,yes
Notes by Rabbi Yehoshua Hartman on Derekh Chayim 6:6:221,Shabbat 88b,8,1,Shabbat 88b:8,True,2.1,125,88,llm,yes
"Halakhot Ketanot, Part II 172:2",Psalms 51,21,1,Psalms 51:5,True,2.9,81,6,llm,yes
Rashba on Bava Kamma 81a:2,Avodah Zarah 47a,22,1,Avodah Zarah 47a:18,True,4.0,34,24,llm,no
"Torah Temimah on Torah, Exodus 22:4:4",Isaiah 32,20,1,Isaiah 32:20,True,4.0,61,7,llm,yes
Tosafot on Bava Kamma 116a:2:1,Shabbat 29a,9,5,Shabbat 29a:9,True,18.0,43,80,high_score,yes
Sha'arei Ephraim 6:49,Deuteronomy 33:1-34:12,41,2,Deuteronomy 33:2,False,1.6,10,21,llm,yes
"Torah Temimah on Torah, Exodus 22:4:4",I Kings 14,31,2,I Kings 14:10,True,5.0,31,20,llm,yes
"Mishpetei Uziel, Volume VII, Even HaEzer 13:22",Yevamot 24b,16,2,Yevamot 24b:6,True,17.0,2,18,high_score,yes
Tosafot on Bava Kamma 116a:2:1,Shabbat 39b,6,7,Shabbat 39b:6,True,11.0,2,76,high_score,yes
"Shevet Musar, Index 41",Shevet Musar 41,6,6,Shevet Musar 41:1,True,6.0,103,673,llm,no
"Keli Chemdah on Torah, Eikev 3:16",Chullin 120,55,1,Chullin 120a:24,True,4.0,350,22,llm,yes
Rosh on Avodah Zarah 4:2:1,Avodah Zarah 44b,15,5,Avodah Zarah 44b:10,True,11.0,94,35,llm,no
"Sheilat Yaavetz, Volume I 75:23",Jerusalem Talmud Megillah,232,4,Jerusalem Talmud Megillah 4:1:2,False,7.0,16,67,llm,yes
Sheyarei Korban on Jerusalem Talmud Sanhedrin 7:10:8:1,Rashi on Sanhedrin 54a,27,1,Rashi on Sanhedrin 54a:13:1,False,4.0,351,44,llm,yes
Tosafot on Bava Kamma 116a:2:1,Chullin 135a,25,1,Chullin 135a:2,True,2.1,6,24,llm,yes
Metzudat David on Zechariah 13:6:1,I Kings 18,46,1,I Kings 18:28,True,1.9,2,9,llm,yes
Tosafot on Bava Kamma 116a:2:1,Pesachim 13a,17,1,Pesachim 13a:5,True,7.0,106,18,llm,yes
Tosafot on Bava Kamma 116a:2:1,Nazir 53a,9,5,Nazir 53a:5,True,9.0,22,33,high_score,yes
Tosafot on Bava Kamma 116a:2:1,Berakhot 43b,20,9,Berakhot 43b:9,True,21.0,2,52,high_score,yes
Metzudat David on Psalms 106:43:1,Judges 2,23,1,Judges 2:18,True,5.0,3,18,llm,yes
"Brit Moshe, Negative Commandments 65:15:1",Shabbat 73b,10,4,Shabbat 73b:5,True,8.0,38,41,high_score,yes
Tosafot on Bava Kamma 116a:2:1,Chullin 137a,22,5,Chullin 137a:22,True,2.1,2,6,llm,yes
Shadal on Exodus 3:22:1,Leviticus 18,30,7,Leviticus 18:27,True,12.0,50,9,high_score,yes
Chidushei Chatam Sofer on Sukkah 30a:11,Bava Kamma 113b,21,1,Bava Kamma 113b:7,True,2.2,24,45,llm,yes
